"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Поиск по сайту","1","Поиск через шапку сайта","0","0","","0"
"0","Поиск по сайту","0","Поиск через страницу поиска","1","0","","0"
